"year","album_name","artist_name_1","n_moods","n_pairs","novel_pairs"
1970,"Right On!","The Last Poets",12,66,66
1971,"The Blue Guerrilla","Kain",7,21,18
1972,"Chastisement","The Last Poets",14,91,25
1976,"Jazzoetry","The Last Poets",20,190,99
1976,"At Last","The Last Poets",14,91,0
1977,"Delights of the Garden","The Last Poets",14,91,0
1980,"The Sugarhill Gang","The Sugarhill Gang",18,153,147
1980,"Kurtis Blow","Kurtis Blow",8,28,17
1980,"Blowfly's Party [X-Rated]","Blowfly",10,45,44
1981,"Deuce","Kurtis Blow",5,10,0
1982,"The Message","Grandmaster Flash",13,78,71
1982,"8th Wonder","The Sugarhill Gang",10,45,13
1982,"Drop the Bomb","Trouble Funk",2,1,0
1983,"Whodini","Whodini",14,91,30
1983,"Death Mix Live!!!","Afrika Bambaataa",12,66,21
1983,"We've Got the Power","Red Alert",19,171,131
1984,"Run-D.M.C.","Run-D.M.C.",26,325,136
1984,"Escape","Whodini",17,136,15
1984,"Fat Boys","The Fat Boys",19,171,121
1984,"Grandmaster Melle Mel and the Furious Five","Grandmaster Melle Mel",17,136,41
1984,"Ego Trip","Kurtis Blow",14,91,38
1984,"Oh My People","The Last Poets",14,91,0
1984,"Jam on Revenge","Newcleus",15,105,63
1985,"King of Rock","Run-D.M.C.",23,253,4
1985,"Radio","LL Cool J",26,325,126
1985,"Mantronix: The Album","Mantronix",14,91,4
1985,"They Said It Couldn't Be Done","Grandmaster Flash",20,190,47
1985,"UTFO","U.T.F.O.",7,21,0
1985,"Space Is the Place","Newcleus",15,105,0
1985,"Hot Girls, Bad Boys","Bad Boys Blue",4,6,2
1986,"Licensed to Ill","Beastie Boys",27,351,104
1986,"Raising Hell","Run-D.M.C.",17,136,0
1986,"Kool Moe Dee","Kool Moe Dee",14,91,27
1986,"Planet Rock: The Album","Afrika Bambaataa",11,55,24
1986,"The 2 Live Crew Is What We Are","The 2 Live Crew",20,190,60
1986,"The Source","Grandmaster Flash",18,153,49
1986,"Back in Black","Whodini",17,136,0
1986,"Hot, Cool & Vicious","Salt-N-Pepa",14,91,36
1986,"Beware (The Funk Is Everywhere)","Afrika Bambaataa",7,21,1
1986,"On Fire","Stetsasonic",17,136,39
1986,"Kingdom Blow","Kurtis Blow",5,10,0
1986,"Schoolly D","Schoolly D",11,55,8
1986,"Brrr Watch 'em!","The Fat Boys",3,3,0
1986,"Chillin'","The Force M.D.'s",8,28,16
1986,"Concerto Futurissimo","Rondò Veneziano",6,15,14
1986,"Skeezer Pleezer","U.T.F.O.",8,28,0
1986,"Whistle","Whistle",8,28,22
1986,"Oh, My God!","Doug E. Fresh & the Get Fresh Crew",10,45,0
1987,"Criminal Minded","Boogie Down Productions",11,55,6
1987,"Bigger & Deffer","LL Cool J",21,210,16
1987,"Yo! Bum Rush the Show","Public Enemy",28,378,67
1987,"Paid in Full","Eric B. & Rakim",24,276,88
1987,"Move Somethin'","The 2 Live Crew",19,171,2
1987,"Rhyme Pays","Ice-T",14,91,2
1987,"How Ya Like Me Now","Kool Moe Dee",11,55,1
1987,"Ba-Dop-Boom-Bang","Grandmaster Flash",20,190,23
1987,"N.W.A and the Posse","N.W.A",10,45,15
1987,"Rock the House","DJ Jazzy Jeff & the Fresh Prince",11,55,10
1987,"Living Large","Heavy D & the Boyz",9,36,15
1987,"Saturday Night! The Album","Schoolly D",14,91,12
