"year","artist_name_1","album_name","V1","V2","V3","V4"
1970,"The Last Poets","Right On!",0.217741935483871,0.217741935483871,0.266129032258065,0.298387096774194
1971,"Kain","The Blue Guerrilla",0.219298245614035,0.271929824561404,0.236842105263158,0.271929824561404
1972,"The Last Poets","Chastisement",0.1953125,0.2109375,0.3046875,0.2890625
1976,"The Last Poets","Jazzoetry",0.207142857142857,0.207142857142857,0.278571428571429,0.307142857142857
1976,"The Last Poets","At Last",0.2109375,0.2109375,0.2890625,0.2890625
1977,"The Last Poets","Delights of the Garden",0.2109375,0.2109375,0.2890625,0.2890625
1980,"The Sugarhill Gang","The Sugarhill Gang",0.198529411764706,0.419117647058824,0.183823529411765,0.198529411764706
1980,"Kurtis Blow","Kurtis Blow",0.301724137931034,0.25,0.21551724137931,0.232758620689655
1980,"Blowfly","Blowfly's Party [X-Rated]",0.325,0.225,0.208333333333333,0.241666666666667
1981,"Kurtis Blow","Deuce",0.281818181818182,0.263636363636364,0.227272727272727,0.227272727272727
1982,"Grandmaster Flash","The Message",0.214285714285714,0.198412698412698,0.277777777777778,0.30952380952381
1982,"The Sugarhill Gang","8th Wonder",0.258333333333333,0.325,0.208333333333333,0.208333333333333
1982,"Trouble Funk","Drop the Bomb",0.240384615384615,0.278846153846154,0.240384615384615,0.240384615384615
1983,"Whodini","Whodini",0.2421875,0.3203125,0.2109375,0.2265625
1983,"Afrika Bambaataa","Death Mix Live!!!",0.233870967741935,0.330645161290323,0.233870967741935,0.201612903225806
1983,"Red Alert","We've Got the Power",0.268115942028986,0.22463768115942,0.210144927536232,0.297101449275362
1984,"Run-D.M.C.","Run-D.M.C.",0.256578947368421,0.30921052631579,0.177631578947368,0.256578947368421
1984,"Whodini","Escape",0.23134328358209,0.350746268656716,0.186567164179104,0.23134328358209
1984,"The Fat Boys","Fat Boys",0.210144927536232,0.384057971014493,0.22463768115942,0.181159420289855
1984,"Grandmaster Melle Mel","Grandmaster Melle Mel and the Furious Five",0.23134328358209,0.365671641791045,0.216417910447761,0.186567164179104
1984,"Kurtis Blow","Ego Trip",0.2265625,0.3203125,0.2578125,0.1953125
1984,"The Last Poets","Oh My People",0.2109375,0.2109375,0.2890625,0.2890625
1984,"Newcleus","Jam on Revenge",0.192307692307692,0.376923076923077,0.223076923076923,0.207692307692308
1985,"Run-D.M.C.","King of Rock",0.23972602739726,0.308219178082192,0.171232876712329,0.280821917808219
1985,"LL Cool J","Radio",0.243421052631579,0.269736842105263,0.177631578947368,0.30921052631579
1985,"Mantronix","Mantronix: The Album",0.2265625,0.3046875,0.2265625,0.2421875
1985,"Grandmaster Flash","They Said It Couldn't Be Done",0.25,0.321428571428571,0.207142857142857,0.221428571428571
1985,"U.T.F.O.","UTFO",0.254385964912281,0.271929824561404,0.219298245614035,0.254385964912281
1985,"Newcleus","Space Is the Place",0.192307692307692,0.361538461538462,0.238461538461538,0.207692307692308
1985,"Bad Boys Blue","Hot Girls, Bad Boys",0.231481481481481,0.287037037037037,0.25,0.231481481481481
1986,"Beastie Boys","Licensed to Ill",0.292207792207792,0.318181818181818,0.175324675324675,0.214285714285714
1986,"Run-D.M.C.","Raising Hell",0.246268656716418,0.305970149253731,0.186567164179104,0.261194029850746
1986,"Kool Moe Dee","Kool Moe Dee",0.2109375,0.2890625,0.2265625,0.2734375
1986,"Afrika Bambaataa","Planet Rock: The Album",0.237704918032787,0.237704918032787,0.270491803278689,0.254098360655738
1986,"The 2 Live Crew","The 2 Live Crew Is What We Are",0.307142857142857,0.235714285714286,0.178571428571429,0.278571428571429
1986,"Grandmaster Flash","The Source",0.227941176470588,0.257352941176471,0.227941176470588,0.286764705882353
1986,"Whodini","Back in Black",0.23134328358209,0.335820895522388,0.186567164179104,0.246268656716418
1986,"Salt-N-Pepa","Hot, Cool & Vicious",0.2578125,0.2734375,0.2265625,0.2421875
1986,"Afrika Bambaataa","Beware (The Funk Is Everywhere)",0.271929824561404,0.236842105263158,0.254385964912281,0.236842105263158
1986,"Stetsasonic","On Fire",0.246268656716418,0.32089552238806,0.23134328358209,0.201492537313433
1986,"Kurtis Blow","Kingdom Blow",0.281818181818182,0.263636363636364,0.227272727272727,0.227272727272727
1986,"Schoolly D","Schoolly D",0.286885245901639,0.254098360655738,0.204918032786885,0.254098360655738
1986,"The Fat Boys","Brrr Watch 'em!",0.235849056603774,0.292452830188679,0.235849056603774,0.235849056603774
1986,"The Force M.D.'s","Chillin'",0.232758620689655,0.25,0.301724137931034,0.21551724137931
1986,"Rondò Veneziano","Concerto Futurissimo",0.223214285714286,0.223214285714286,0.3125,0.241071428571429
1986,"U.T.F.O.","Skeezer Pleezer",0.267241379310345,0.267241379310345,0.21551724137931,0.25
1986,"Whistle","Whistle",0.21551724137931,0.232758620689655,0.336206896551724,0.21551724137931
1986,"Doug E. Fresh & the Get Fresh Crew","Oh, My God!",0.258333333333333,0.325,0.208333333333333,0.208333333333333
1987,"Boogie Down Productions","Criminal Minded",0.237704918032787,0.204918032786885,0.254098360655738,0.30327868852459
1987,"LL Cool J","Bigger & Deffer",0.21830985915493,0.26056338028169,0.204225352112676,0.316901408450704
1987,"Public Enemy","Yo! Bum Rush the Show",0.25,0.173076923076923,0.198717948717949,0.378205128205128
1987,"Eric B. & Rakim","Paid in Full",0.25,0.222972972972973,0.277027027027027,0.25
1987,"The 2 Live Crew","Move Somethin'",0.297101449275362,0.239130434782609,0.181159420289855,0.282608695652174
1987,"Ice-T","Rhyme Pays",0.2109375,0.2109375,0.2265625,0.3515625
1987,"Kool Moe Dee","How Ya Like Me Now",0.254098360655738,0.30327868852459,0.204918032786885,0.237704918032787
1987,"Grandmaster Flash","Ba-Dop-Boom-Bang",0.235714285714286,0.25,0.25,0.264285714285714
1987,"N.W.A","N.W.A and the Posse",0.241666666666667,0.225,0.208333333333333,0.325
1987,"DJ Jazzy Jeff & the Fresh Prince","Rock the House",0.221311475409836,0.352459016393443,0.204918032786885,0.221311475409836
1987,"Heavy D & the Boyz","Living Large",0.228813559322034,0.296610169491525,0.26271186440678,0.211864406779661
1987,"Schoolly D","Saturday Night! The Album",0.2578125,0.2265625,0.2109375,0.3046875
1987,"Dana Dane","Dana Dane with Fame",0.223214285714286,0.3125,0.241071428571429,0.223214285714286
1987,"Spoonie Gee","The Godfather of Rap",0.272058823529412,0.345588235294118,0.198529411764706,0.183823529411765
1987,"Masters of Ceremony","Dynamite",0.2578125,0.2578125,0.2578125,0.2265625
1987,"U.T.F.O.","Lethal",0.267241379310345,0.28448275862069,0.21551724137931,0.232758620689655
1987,"Bad Boys Blue","Love Is No Crime",0.231481481481481,0.287037037037037,0.25,0.231481481481481
1987,"Bad Boys Blue","Heart Beat",0.231481481481481,0.287037037037037,0.25,0.231481481481481
1988,"Public Enemy","It Takes a Nation of Millions to Hold Us Back",0.196428571428571,0.196428571428571,0.232142857142857,0.375
1988,"N.W.A","Straight Outta Compton",0.237179487179487,0.198717948717949,0.173076923076923,0.391025641025641
1988,"DJ Jazzy Jeff & the Fresh Prince","He's the DJ, I'm the Rapper",0.2265625,0.3828125,0.1953125,0.1953125
1988,"EPMD","Strictly Business",0.257352941176471,0.272058823529412,0.242647058823529,0.227941176470588
1988,"Eazy-E","Eazy-Duz-It",0.275,0.241666666666667,0.208333333333333,0.275
1988,"Run-D.M.C.","Tougher Than Leather",0.269230769230769,0.330769230769231,0.192307692307692,0.207692307692308
1988,"Too $hort","Life Is... Too $hort",0.362903225806452,0.201612903225806,0.217741935483871,0.217741935483871
1988,"Slick Rick","The Great Adventures of Slick Rick",0.26,0.313333333333333,0.18,0.246666666666667
1988,"Biz Markie","Goin' Off",0.237704918032787,0.352459016393443,0.204918032786885,0.204918032786885
1988,"Boogie Down Productions","By All Means Necessary",0.227941176470588,0.198529411764706,0.257352941176471,0.316176470588235
1988,"Sir Mix-A-Lot","Swass",0.282258064516129,0.314516129032258,0.201612903225806,0.201612903225806
1988,"Jungle Brothers","Straight Out the Jungle",0.217741935483871,0.298387096774194,0.282258064516129,0.201612903225806
1988,"Eric B. & Rakim","Follow the Leader",0.239130434782609,0.253623188405797,0.195652173913043,0.311594202898551
1988,"Ice-T","Power",0.242647058823529,0.213235294117647,0.183823529411765,0.360294117647059
1988,"Big Daddy Kane","Long Live the Kane",0.28448275862069,0.21551724137931,0.21551724137931,0.28448275862069
1988,"MC Hammer","Let's Get It Started",0.261904761904762,0.341269841269841,0.198412698412698,0.198412698412698
1988,"MC Lyte","Lyte as a Rock",0.240384615384615,0.240384615384615,0.278846153846154,0.240384615384615
1988,"Grandmaster Flash","On the Strength",0.220238095238095,0.303571428571429,0.279761904761905,0.196428571428571
1988,"Salt-N-Pepa","A Salt with a Deadly Pepa",0.234848484848485,0.310606060606061,0.234848484848485,0.21969696969697
1988,"Ultramagnetic MC's","Critical Beatdown",0.246031746031746,0.293650793650794,0.198412698412698,0.261904761904762
1988,"Stetsasonic","In Full Gear",0.238461538461538,0.361538461538462,0.207692307692308,0.192307692307692
1988,"DJ Magic Mike","Bass Is the Name of the Game",0.267241379310345,0.28448275862069,0.232758620689655,0.21551724137931
1988,"Geto Boys","Making Trouble",0.253846153846154,0.192307692307692,0.223076923076923,0.330769230769231
1988,"Marley Marl","In Control, Vol. 1",0.253846153846154,0.3,0.192307692307692,0.253846153846154
1988,"Audio Two","What More Can I Say?",0.263636363636364,0.263636363636364,0.245454545454545,0.227272727272727
1988,"Chubb Rock","Chubb Rock Featuring Hitman Howie Tee",0.232758620689655,0.336206896551724,0.21551724137931,0.21551724137931
1988,"Sparky D","This Is Sparky D's World",0.253846153846154,0.3,0.207692307692308,0.238461538461538
1988,"Kid 'N Play","2 Hype",0.2421875,0.3203125,0.2421875,0.1953125
1988,"Afrika Bambaataa","The Light",0.268518518518519,0.268518518518519,0.231481481481481,0.231481481481481
1988,"Rob Base & DJ E-Z Rock","It Takes Two",0.28448275862069,0.28448275862069,0.21551724137931,0.21551724137931
1988,"DJ Magic Mike","Vicious Bass",0.246031746031746,0.357142857142857,0.198412698412698,0.198412698412698
1988,"Schoolly D","Smoke Some Kill",0.258333333333333,0.208333333333333,0.225,0.308333333333333
1988,"L'Trimm","Grab It!",0.21551724137931,0.353448275862069,0.21551724137931,0.21551724137931
1988,"Doug E. Fresh & the Get Fresh Crew","The World's Greatest Entertainer",0.23015873015873,0.341269841269841,0.198412698412698,0.23015873015873
1988,"Gucci Crew II","So Def, So Fresh, So Stupid",0.267241379310345,0.28448275862069,0.21551724137931,0.232758620689655
1988,"Christian Marclay","More Encores: Christian Marclay Plays With the Records Of...",0.240384615384615,0.259615384615385,0.240384615384615,0.259615384615385
1988,"Vicious Base","Back to Haunt You! [Cheetah]",0.276785714285714,0.276785714285714,0.223214285714286,0.223214285714286
1988,"DJ Magic Mike & The Royal Posse","DJ Magic Mike and the Royal Posse",0.277777777777778,0.325396825396825,0.198412698412698,0.198412698412698
1989,"Beastie Boys","Paul's Boutique",0.25,0.310606060606061,0.25,0.189393939393939
1989,"Biz Markie","The Biz Never Sleeps",0.22463768115942,0.41304347826087,0.181159420289855,0.181159420289855
1989,"LL Cool J","Walking with a Panther",0.261194029850746,0.291044776119403,0.201492537313433,0.246268656716418
1989,"Ice-T","The Iceberg: Freedom of Speech... Just Watch What You Say",0.207142857142857,0.207142857142857,0.221428571428571,0.364285714285714
1989,"Boogie Down Productions","Ghetto Music: The Blueprint of Hip Hop",0.217741935483871,0.201612903225806,0.25,0.330645161290323
1989,"The 2 Live Crew","As Nasty as They Wanna Be",0.280821917808219,0.253424657534247,0.171232876712329,0.294520547945205
1989,"Sir Mix-A-Lot","Seminar",0.25,0.330645161290323,0.201612903225806,0.217741935483871
1989,"Young MC","Stone Cold Rhymin'",0.216417910447761,0.380597014925373,0.201492537313433,0.201492537313433
1989,"3rd Bass","The Cactus Album",0.2578125,0.2734375,0.2109375,0.2578125
1989,"EPMD","Unfinished Business",0.246268656716418,0.291044776119403,0.216417910447761,0.246268656716418
1989,"Big Daddy Kane","It's a Big Daddy Thing",0.267241379310345,0.21551724137931,0.21551724137931,0.301724137931034
1989,"Heavy D & the Boyz","Big Tyme",0.241666666666667,0.325,0.225,0.208333333333333
1989,"Gang Starr","No More Mr. Nice Guy",0.213235294117647,0.198529411764706,0.404411764705882,0.183823529411765
1989,"Too $hort","Born to Mack",0.276785714285714,0.258928571428571,0.223214285714286,0.241071428571429
1989,"Queen Latifah","All Hail the Queen",0.2421875,0.2421875,0.2734375,0.2421875
1989,"Geto Boys","Grip It! On That Other Level",0.204918032786885,0.204918032786885,0.237704918032787,0.352459016393443
1989,"The 2 Live Crew","As Clean as They Wanna Be",0.282258064516129,0.282258064516129,0.217741935483871,0.217741935483871
1989,"Jungle Brothers","Done by the Forces of Nature",0.214285714285714,0.30952380952381,0.261904761904762,0.214285714285714
1989,"De La Soul","3 Feet High and Rising",0.201492537313433,0.425373134328358,0.186567164179104,0.186567164179104
1989,"DJ Jazzy Jeff & the Fresh Prince","And in This Corner...",0.232758620689655,0.336206896551724,0.21551724137931,0.21551724137931
1989,"MC Lyte","Eyes on This",0.240384615384615,0.259615384615385,0.240384615384615,0.259615384615385
1989,"Kool G Rap & DJ Polo","Road to the Riches",0.261194029850746,0.201492537313433,0.23134328358209,0.305970149253731
1989,"Kool Moe Dee","Knowledge Is King",0.258333333333333,0.258333333333333,0.208333333333333,0.275
1989,"Tone-Loc","Loc-ed After Dark",0.325757575757576,0.265151515151515,0.21969696969697,0.189393939393939
1989,"Chubb Rock","And the Winner Is...",0.232758620689655,0.336206896551724,0.21551724137931,0.21551724137931
1989,"Kwamé","Kwamé the Boy Genius: Featuring a New Beginning",0.235849056603774,0.235849056603774,0.292452830188679,0.235849056603774
1989,"The D.O.C.","No One Can Do It Better",0.253846153846154,0.192307692307692,0.207692307692308,0.346153846153846
1989,"Schoolly D","Am I Black Enough for You?",0.258333333333333,0.208333333333333,0.225,0.308333333333333
1989,"Wreckx-N-Effect","Wrecks-N-Effect",0.295454545454545,0.310606060606061,0.189393939393939,0.204545454545455
1989,"The Last Poets","Freedom Express",0.2109375,0.2109375,0.2890625,0.2890625
1989,"Special Ed","Youngest in Charge",0.1953125,0.3828125,0.2109375,0.2109375
1989,"Rob Base","The Incredible Base",0.271929824561404,0.289473684210526,0.219298245614035,0.219298245614035
1989,"Gucci Crew II","What Time Is It? It's Gucci Time",0.267241379310345,0.28448275862069,0.21551724137931,0.232758620689655
1989,"Gucci Crew II","Everybody Wants Some",0.267241379310345,0.28448275862069,0.21551724137931,0.232758620689655
