"focal","origin"
"Yelawolf","10,000 Maniacs"
"Pretty Ricky","112"
"Cupid","112"
"Chris Brown","112"
"Herobust","2 Chainz"
"Rich Brian","2 Chainz"
"Clan of Xymox","23 Skidoo"
"Demdike Stare","23 Skidoo"
"Drain","23 Skidoo"
"Factory Floor","23 Skidoo"
"KMFDM","23 Skidoo"
"Nine Inch Nails","23 Skidoo"
"Red Snapper","23 Skidoo"
"Skinny Puppy","23 Skidoo"
"Gym Class Heroes","24-7 Spyz"
"Kottonmouth Kings","24-7 Spyz"
"Young Gunz","2nd II None"
"Akwid","2nd II None"
"Lloyd Banks","2Pac"
"Potluck","2Pac"
"E.S.G.","2Pac"
"Lil' Flip","2Pac"
"Do or Die","2Pac"
"Eminem","2Pac"
"Lil' Kim","2Pac"
"Paul Wall","2Pac"
"Screwed Up Click","2Pac"
"Bizzy Bone","2Pac"
"Juvenile","2Pac"
"Project Pat","2Pac"
"Master P","2Pac"
"Jay-Z","2Pac"
"Killa Tay","2Pac"
"B.G.","2Pac"
"Trick Daddy","2Pac"
"Young Buck","2Pac"
"Obie Trice","2Pac"
"DJ Screw","2Pac"
"Boot Camp Clik","2Pac"
"DMX","2Pac"
"The Game","2Pac"
"8Ball","2Pac"
"Gucci Mane","2Pac"
"San Quinn","2Pac"
"Lil' Keke","2Pac"
"C-Murder","2Pac"
"Rohff","2Pac"
"Z-Ro","2Pac"
"Hell Rell","2Pac"
"Bone Thugs-N-Harmony","2Pac"
"Birdman","2Pac"
"Lil Wayne","2Pac"
"Jadakiss","2Pac"
"50 Cent","2Pac"
"Freeway","2Pac"
"Rappin' 4-Tay","2Pac"
"Marvaless","2Pac"
"Guce","2Pac"
"Charlie Manhattan","2Pac"
"Laroo","2Pac"
"Rasco","2Pac"
"Dark Lotus","2Pac"
"Immortal Technique","2Pac"
"Westside Connection","2Pac"
"Silkk the Shocker","2Pac"
"T.I.","2Pac"
"Ja Rule","2Pac"
"Gangsta Pat","2Pac"
"Crooked","2Pac"
"Rick Ross","2Pac"
"A.W.O.L.","2Pac"
"Bootleg","2Pac"
"Ya Boy","2Pac"
"Big Hawk","2Pac"
"J-Hood","2Pac"
"Foxy Brown","2Pac"
"Trae tha Truth","2Pac"
"Blood Raw","2Pac"
"Boyz N da Hood","2Pac"
"Grafh","2Pac"
"Lyrycyst","2Pac"
"Omar Cruz","2Pac"
"Lil Scrappy","2Pac"
"Bubba Sparxxx","2Pac"
"Lil' Troy","2Pac"
"Pryde Messiah","2Pac"
"Big Tymers","2Pac"
"Archie Eversole","2Pac"
"J. Cole","2Pac"
"Kerser","2Pac"
"YG","2Pac"
"Boosie Badazz","2Pac"
"MobSquad Nard","2Pac"
"Empire Cast","2Pac"
"Flatbush Zombies","2Pac"
"Deniro Farrar","2Pac"
"Dame D.O.L.L.A.","2Pac"
"Clee","2Pac"
"Papa Seville","2Pac"
"Toyster","2Pac"
"Jovishes","2Pac"
"The Hot Boys","2Pac"
"Sicx","2Pac"
"Bishop Nehru","2Pac"
"Iggy Azalea","2Pac"
"Denzel Curry","2Pac"
"Sampa the Great","2Pac"
"Kodak Black","2Pac"
"Skull Gang","2Pac"
"2Wice","2Pac"
"Canibus","2Pac"
"Coolio","2Pac"
"Dua Lipa","2Pac"
"E-40","2Pac"
"James Supercave","2Pac"
"Jay Park","2Pac"
"Josylvio","2Pac"
"Juice WRLD","2Pac"
"Kurupt","2Pac"
"Lex the Hex Master","2Pac"
"Luke Kaufman","2Pac"
"Nick Grant","2Pac"
"Nicky Blitz","2Pac"
"Rituals of Mine","2Pac"
"She Is We","2Pac"
"Statik Kxng","2Pac"
"Travis Mills","2Pac"
"ZAYN","2Pac"
"Zayn Malik","2Pac"
"Linkin Park","311"
"Huecco","311"
"Eminem","3rd Bass"
"Grand Buffet","3rd Bass"
"Everlast","3rd Bass"
"Kool Keith","3rd Bass"
"Handsome Boy Modeling School","3rd Bass"
"The Pharcyde","3rd Bass"
"Asher Roth","3rd Bass"
"Tha Alkaholiks","3rd Bass"
"Majik Most","3rd Bass"
"House of Pain","3rd Bass"
"Prime Minister Pete Nice & Daddy Rich","3rd Bass"
"Young Black Teenagers","3rd Bass"
"K.M.D.","3rd Bass"
"Brokin English Klik","3rd Bass"
"Dilated Peoples","3rd Bass"
"Kwest tha Madd Ladd","3rd Bass"
"Lords of the Underground","3rd Bass"
"Nas","3rd Bass"
"Non-Phixion","3rd Bass"
"213","415"
"Yung Berg","50 Cent"
"Saigon","50 Cent"
"John Cena","50 Cent"
"French Montana","50 Cent"
"YG","50 Cent"
"Bas","50 Cent"
"Glasses Malone","50 Cent"
"Dorrough","50 Cent"
"A$AP Twelvyy","50 Cent"
"Willy Northpole","50 Cent"
"Bobby Raps","50 Cent"
"Gorilla Zoe","50 Cent"
"Jez Dior","50 Cent"
"Michael Constantino","50 Cent"
"O.T. Genasis","50 Cent"
"Plies","50 Cent"
"Shoreline Mafia","50 Cent"
"Pitbull","69 Boyz"
"Choppa","69 Boyz"
"Ying Yang Twins","69 Boyz"
"YoungBloodZ","69 Boyz"
"Stereo MC's","808 State"
"UGK","8Ball"
"2 Chainz","8Ball"
"Lil' Flip","8Ball and MJG"
"Yung Joc","8Ball and MJG"
"Tommy Wright III","8Ball and MJG"
"Pastor Troy","8Ball and MJG"
"Screwed Up Click","8Ball and MJG"
"Lil Jon","8Ball and MJG"
"Juvenile","8Ball and MJG"
"Project Pat","8Ball and MJG"
"Chamillionaire","8Ball and MJG"
"Haystak","8Ball and MJG"
"Papa Reu","8Ball and MJG"
"Yo Gotti","8Ball and MJG"
"Trick Daddy","8Ball and MJG"
"Young Buck","8Ball and MJG"
"DJ Screw","8Ball and MJG"
"Mike Jones","8Ball and MJG"
"Slim Thug","8Ball and MJG"
"Gucci Mane","8Ball and MJG"
"South Park Mexican","8Ball and MJG"
"Lil O","8Ball and MJG"
"Lil' Keke","8Ball and MJG"
"Ray Cash","8Ball and MJG"
"Three 6 Mafia","8Ball and MJG"
"Mac Dre","8Ball and MJG"
"Kanye West","8Ball and MJG"
"Gorilla Zoe","8Ball and MJG"
"Criminal Manne","8Ball and MJG"
"Kingpin Skinny Pimp","8Ball and MJG"
"Lil Wayne","8Ball and MJG"
"Hurricane Chris","8Ball and MJG"
"Yukmouth","8Ball and MJG"
"Petey Pablo","8Ball and MJG"
"Dem Franchize Boyz","8Ball and MJG"
"Mystikal","8Ball and MJG"
"Fat Pat","8Ball and MJG"
"Gangsta Pat","8Ball and MJG"
"Czar*Nok","8Ball and MJG"
"Lil' Blunt","8Ball and MJG"
"Mr. Pookie","8Ball and MJG"
"David Banner","8Ball and MJG"
"Cee Lo Green","8Ball and MJG"
"Ying Yang Twins","8Ball and MJG"
"Big Hawk","8Ball and MJG"
"Big Pokey","8Ball and MJG"
