"year","album_name","artist_name_1","n_moods","n_pairs","novel_pairs","pagerank","n_origins","n_followers"
1970,"Right On!","The Last Poets",12,66,66,0.00669415592086939,7,33
1980,"Blowfly's Party [X-Rated]","Blowfly",10,45,44,0.00150253174233948,9,13
1980,"Kurtis Blow","Kurtis Blow",8,28,17,0.0089559275873719,7,39
1980,"The Sugarhill Gang","The Sugarhill Gang",18,153,147,0.007177220815664,9,32
1982,"Drop the Bomb","Trouble Funk",2,1,0,0.00315787981925575,8,7
1982,"The Message","Grandmaster Flash",13,78,71,0.00184205408697419,1,16
1983,"Death Mix Live!!!","Afrika Bambaataa",12,66,21,0.0123303182570484,10,74
1983,"Whodini","Whodini",14,91,30,0.0033800817887257,5,24
1984,"Fat Boys","The Fat Boys",19,171,121,0.0013807012026566,5,17
1984,"Run-D.M.C.","Run-D.M.C.",26,325,136,0.0133246097677286,6,114
1985,"Mantronix: The Album","Mantronix",14,91,4,0.00226699099380832,11,20
1985,"Radio","LL Cool J",26,325,126,0.00503650922303028,8,63
1985,"UTFO","U.T.F.O.",7,21,0,0.000127892954213055,1,0
1986,"Hot, Cool & Vicious","Salt-N-Pepa",14,91,36,0.00122992603172262,8,23
1986,"Kool Moe Dee","Kool Moe Dee",14,91,27,0.00385540881365313,11,33
1986,"Licensed to Ill","Beastie Boys",27,351,104,0.00603897683615537,24,93
1986,"On Fire","Stetsasonic",17,136,39,0.00269774475362294,13,35
1986,"Schoolly D","Schoolly D",11,55,8,0.00419114369586283,8,26
1986,"The 2 Live Crew Is What We Are","The 2 Live Crew",20,190,60,0.00276356253472394,10,51
1986,"Whistle","Whistle",8,28,22,0.000127892954213055,1,0
1987,"Criminal Minded","Boogie Down Productions",11,55,6,0.00599166981469266,14,81
1987,"Dana Dane with Fame","Dana Dane",6,15,1,0.000176331883405961,3,1
1987,"Dynamite","Masters of Ceremony",14,91,44,0.000127892954213055,2,0
1987,"Living Large","Heavy D & the Boyz",9,36,15,0.000212442315437682,7,3
1987,"Paid in Full","Eric B. & Rakim",24,276,88,0.00729838737952688,16,97
1987,"Rhyme Pays","Ice-T",14,91,2,0.00790926661370399,11,77
1987,"Rock the House","DJ Jazzy Jeff & the Fresh Prince",11,55,10,0.000455895804168524,8,8
1987,"Yo! Bum Rush the Show","Public Enemy",28,378,67,0.006811777478547,21,118
1988,"2 Hype","Kid 'N Play",14,91,5,0.000175548351319938,3,1
1988,"Bass Is the Name of the Game","DJ Magic Mike",8,28,2,0.000846508583708159,8,11
1988,"Chubb Rock Featuring Hitman Howie Tee","Chubb Rock",8,28,0,0.000521065941431638,5,8
1988,"Critical Beatdown","Ultramagnetic MC's",13,78,4,0.00219714210803868,8,34
1988,"Eazy-Duz-It","Eazy-E",10,45,0,0.00186800085416156,12,38
1988,"Goin' Off","Biz Markie",11,55,1,0.00218739101456365,13,34
1988,"It Takes Two","Rob Base & DJ E-Z Rock",8,28,0,0.000127892954213055,7,0
1988,"Let's Get It Started","MC Hammer",13,78,0,0.000495116685899655,12,6
1988,"Life Is... Too $hort","Too $hort",12,66,3,0.0048227415454862,6,75
1988,"Long Live the Kane","Big Daddy Kane",8,28,0,0.00443758215405063,12,64
1988,"Lyte as a Rock","MC Lyte",2,1,1,0.00137707922934848,7,22
1988,"Making Trouble","Geto Boys",15,105,6,0.00509690787306574,9,114
1988,"Straight Out the Jungle","Jungle Brothers",12,66,22,0.00196822283427178,19,46
1988,"Straight Outta Compton","N.W.A",28,378,60,0.0112695866791029,18,210
1988,"Strictly Business","EPMD",18,153,19,0.00507790736559691,18,86
1988,"Swass","Sir Mix-A-Lot",12,66,1,0.000551504873340976,7,9
1988,"The Great Adventures of Slick Rick","Slick Rick",25,300,32,0.00336362915829513,5,43
1988,"What More Can I Say?","Audio Two",5,10,2,0.0004210132725416,6,6
1989,"3 Feet High and Rising","De La Soul",17,136,1,0.00391766143892074,19,96
1989,"All Hail the Queen","Queen Latifah",14,91,17,0.00136032465265639,14,21
1989,"Brother Arab","The Arabian Prince",2,1,0,0.000182247459753604,3,1
1989,"Kwamé the Boy Genius: Featuring a New Beginning","Kwamé",3,3,2,0.000154254889400222,11,1
1989,"Loc-ed After Dark","Tone-Loc",16,120,6,0.000173793649709302,1,2
1989,"Move to Move","Kon Kan",4,6,4,0.000127892954213055,1,0
1989,"No More Mr. Nice Guy","Gang Starr",18,153,84,0.00266949296118104,17,60
1989,"No One Can Do It Better","The D.O.C.",15,105,1,0.000330462711544851,1,6
1989,"Road to the Riches","Kool G Rap & DJ Polo",17,136,22,0.00128077507710426,2,23
1989,"Stone Cold Rhymin'","Young MC",17,136,6,0.000587171147521977,8,5
1989,"Stop the World","Black, Rock & Ron",12,66,29,0.000127892954213055,5,0
1989,"The Cactus Album","3rd Bass",14,91,3,0.00107978480627872,10,19
1989,"Wild & Loose","Oaktown's 357",7,21,0,0.000127892954213055,1,0
1990,"2 Low Life Muthas","Poison Clan",8,28,2,0.000359185485576843,2,6
1990,"AmeriKKKa's Most Wanted","Ice Cube",17,136,3,0.0035879175407252,9,89
1990,"Boomin' Words from Hell","Esham",12,66,31,0.000360695564416852,9,8
1990,"Call Me D-Nice","D-Nice",8,28,0,0.000154254889400221,2,1
1990,"Forever Everlasting","Everlast",9,36,0,0.000161540981452443,15,2
1990,"Hispanic Causing Panic","Kid Frost",10,45,5,0.000363701813908181,2,7
1990,"Holy Intellect","Poor Righteous Teachers",3,3,2,0.000422897674113775,4,9
1990,"It's a Compton Thang","Compton's Most Wanted",10,45,0,0.000625493200882075,7,16
1990,"Livin' Like Hustlers","Above the Law",8,28,6,0.000796472534448909,2,14
1990,"Mental Floss for the Globe","Urban Dance Squad",3,3,0,0.000127892954213055,4,0
1990,"One for All","Brand Nubian",7,21,3,0.00102154790889294,11,27
1990,"People's Instinctive Travels and the Paths of Rhythm","A Tribe Called Quest",19,171,3,0.0037974911935781,14,93
1990,"Sex Packets","Digital Underground",11,55,0,0.00107061766769164,22,17
1990,"Supernatural","Stereo MC's",13,78,41,0.000149246509961128,6,2
1990,"Take a Look Around","Masta Ace",7,21,4,0.000432246105473174,5,6
1990,"The Devil Made Me Do It","Paris",25,300,31,0.000321139812161043,6,7
1990,"The Music Ain't Loud Enuff","DJ Kool",9,36,0,0.000203513225933233,2,2
1990,"To the East, Blackwards","X Clan",8,28,7,0.000405935189477247,4,10
